0.9551113,0.2716803
0.90916896,0.5884597
0.8963285,0.2981075
0.89536005,0.37407136
0.827459,0.2272973
0.7916209,0.9766907
0.7681628,0.5802123
0.6934985,0.48557347
0.65717083,0.11154878
0.6567105,0.23588556
0.6131273,0.02116388
0.56816244,0.2789606
0.55251366,0.9209038
0.5510833,0.2275027
0.527005,0.56972665
0.5197969,0.8396587
0.42492974,0.09714502
0.41545898,0.21916395
0.3959583,0.99940515
0.35222965,0.17462099
0.30852562,0.12970889
0.2960708,0.5711057
0.14902842,0.86521316
0.11134535,0.43280965
0.09548074,0.22983408
0.07006991,0.38990545
0.058229566,0.16456121
0.049610496,0.7321711
0.039995313,0.8761217
0.012448788,0.9826416
